"","prev_std","b..Intercept..Stock.Birkenhead.","b.prev_std.Stock.Birkenhead.","b..Intercept..Stock.Bowron.","b.prev_std.Stock.Bowron.","b..Intercept..Stock.Chilko.","b.prev_std.Stock.Chilko.","b..Intercept..Stock.E.Stuart.","b.prev_std.Stock.E.Stuart.","b..Intercept..Stock.Gates.","b.prev_std.Stock.Gates.","b..Intercept..Stock.Harrison.","b.prev_std.Stock.Harrison.","b..Intercept..Stock.L.Shuswap.","b.prev_std.Stock.L.Shuswap.","b..Intercept..Stock.L.Stuart.","b.prev_std.Stock.L.Stuart.","b..Intercept..Stock.Nadina.","b.prev_std.Stock.Nadina.","b..Intercept..Stock.Pitt.","b.prev_std.Stock.Pitt.","b..Intercept..Stock.Portage.","b.prev_std.Stock.Portage.","b..Intercept..Stock.Quesnel.","b.prev_std.Stock.Quesnel.","b..Intercept..Stock.Raft.","b.prev_std.Stock.Raft.","b..Intercept..Stock.Scotch.","b.prev_std.Stock.Scotch.","b..Intercept..Stock.Seymour.","b.prev_std.Stock.Seymour.","b..Intercept..Stock.Stellako.","b.prev_std.Stock.Stellako.","b..Intercept..Stock.Weaver.","b.prev_std.Stock.Weaver.","b..Intercept..Year.2009.","b..Intercept..Year.2010.","b..Intercept..Year.2011.","b..Intercept..Year.2012.","b..Intercept..Year.2013.","b..Intercept..Year.2014.","b..Intercept..Year.2015.","b..Intercept..Year.2016.","sigma","Sigma.Stock..Intercept...Intercept..","Sigma.Stock.prev_std..Intercept..","Sigma.Stock.prev_std.prev_std.","Sigma.Year..Intercept...Intercept.."
"arena2",0.3465,0.6295,0.4395,0.5145,0.4855,0.371,0.4985,0.714,0.458,0.106,0.5805,0.3175,0.58,0.353,0.554,0.66,0.4465,0.63,0.4565,0.383,0.4745,0.7095,0.424,0.8435,0.4605,0.519,0.4955,0.656,0.422,0.7415,0.445,0.7445,0.5595,0.268,0.546,0.319,0.059,0.59,0.4275,0.996,0.941,1,0.7775,0,0,0.562,0,0
"c_b_cys",0.8825,0.834,0.4175,0.5685,0.4115,0.2945,0.527,0.5715,0.491,0.1125,0.8795,0.2985,0.629,0.353,0.5195,0.6435,0.355,0.664,0.4025,0.4185,0.4295,0.612,0.5,0.9,0.1945,0.461,0.558,0.583,0.486,0.7135,0.4695,0.654,0.371,0.3045,0.6255,0.5835,0.0505,0.592,0.298,0.994,0.9725,1,0.661,0,0,0.7855,0,0
"ce_sha",0.6305,0.7965,0.879,0.586,0.4975,0.286,0.507,0.6875,0.54,0.102,0.567,0.1995,0.4465,0.358,0.245,0.629,0.561,0.6955,0.528,0.293,0.438,0.732,0.467,0.9145,0.7375,0.4295,0.7275,0.686,0.3195,0.7915,0.495,0.6485,0.39,0.3265,0.365,0.368,0.0445,0.653,0.256,0.9975,0.9625,1,0.708,0,0,0.3625,0,0
"de_sal",0.585,0.832,0.394,0.5755,0.4665,0.2795,0.6235,0.6515,0.4615,0.1365,0.6375,0.2545,0.5125,0.4045,0.5345,0.611,0.474,0.6875,0.456,0.3275,0.549,0.6945,0.4435,0.8765,0.378,0.444,0.5085,0.656,0.493,0.751,0.391,0.6335,0.502,0.351,0.5555,0.3675,0.0435,0.644,0.393,0.998,0.9445,1,0.653,0,0,0.6225,0,0
"fa_mar",0.439,0.817,0.4645,0.608,0.477,0.301,0.5835,0.6455,0.4775,0.1135,0.398,0.236,0.586,0.405,0.5715,0.612,0.4075,0.6565,0.476,0.319,0.489,0.7065,0.49,0.877,0.582,0.4525,0.5085,0.6735,0.5175,0.777,0.5095,0.613,0.472,0.349,0.5325,0.3425,0.044,0.5975,0.3855,0.999,0.9385,1,0.6835,0,0,0.452,0,0
"fl_psy",0.7105,0.827,0.479,0.578,0.493,0.285,0.4125,0.6645,0.4655,0.1095,0.538,0.2175,0.4995,0.3245,0.713,0.6525,0.456,0.615,0.522,0.3115,0.531,0.7415,0.459,0.888,0.5065,0.4455,0.5215,0.7045,0.468,0.7795,0.4555,0.6465,0.47,0.355,0.5335,0.372,0.057,0.6385,0.3975,0.9965,0.96,1,0.6105,0,0,0.5135,0,0
"ic_hof",0.74,0.893,0.2015,0.5945,0.5005,0.261,0.5095,0.681,0.454,0.063,0.736,0.2045,0.4855,0.2915,0.7735,0.6425,0.555,0.7085,0.425,0.2965,0.5435,0.7725,0.35,0.9215,0.3165,0.4415,0.5315,0.7725,0.179,0.7755,0.4345,0.6405,0.608,0.3435,0.578,0.304,0.077,0.661,0.405,0.9925,0.921,1,0.6465,0,0,0.721,0,0
"ic_mul",0.9055,0.837,0.409,0.5695,0.5605,0.252,0.4235,0.682,0.68,0.081,0.169,0.276,0.547,0.3935,0.9165,0.6,0.1215,0.709,0.4505,0.262,0.314,0.77,0.434,0.904,0.7445,0.4585,0.5115,0.719,0.4595,0.7945,0.5915,0.6495,0.695,0.386,0.5375,0.428,0.0525,0.7615,0.5065,0.976,0.9725,1,0.736,0,0,0.3375,0,0
"ku_thy",0.353,0.832,0.5405,0.5635,0.5115,0.309,0.4935,0.622,0.473,0.137,0.3605,0.2425,0.5105,0.405,0.552,0.5975,0.515,0.686,0.6095,0.301,0.4715,0.7055,0.499,0.8595,0.4855,0.433,0.492,0.654,0.4875,0.7505,0.496,0.65,0.603,0.3435,0.503,0.3685,0.058,0.6435,0.3785,0.9965,0.9315,1,0.712,0,0,0.421,0,0
"lo_sal",0.7925,0.7985,0.344,0.5755,0.4545,0.302,0.5135,0.6475,0.5045,0.1515,0.621,0.2775,0.5735,0.4095,0.544,0.5385,0.628,0.6425,0.42,0.339,0.467,0.704,0.4085,0.8375,0.416,0.464,0.5135,0.646,0.465,0.731,0.414,0.6345,0.531,0.3515,0.5675,0.3955,0.052,0.6455,0.445,0.9975,0.8495,1,0.754,0,0,0.6145,0,0
"my_arc",0.918,0.8115,0.511,0.5255,0.487,0.267,0.465,0.601,0.549,0.1575,0.678,0.2775,0.446,0.401,0.652,0.6435,0.4495,0.6025,0.502,0.35,0.5085,0.7065,0.4465,0.8,0.5515,0.4265,0.5475,0.7065,0.351,0.7805,0.3075,0.6485,0.404,0.352,0.512,0.415,0.0255,0.724,0.246,0.9965,0.977,1,0.6515,0,0,0.6035,0,0
"pa_kab",0.712,0.8565,0.4545,0.5815,0.596,0.234,0.2665,0.705,0.5695,0.0755,0.212,0.17,0.1685,0.533,0.8895,0.682,0.6695,0.7115,0.6,0.2365,0.177,0.696,0.4365,0.9165,0.587,0.43,0.5045,0.696,0.7605,0.815,0.6625,0.678,0.734,0.3125,0.3835,0.4045,0.0835,0.6105,0.4125,0.9635,0.952,1,0.7795,0,0,0.2475,0,0
"pa_min",0.5745,0.7825,0.6855,0.55,0.468,0.312,0.675,0.6145,0.309,0.126,0.5955,0.2555,0.3065,0.402,0.7555,0.613,0.3605,0.643,0.492,0.321,0.2915,0.709,0.4045,0.8645,0.468,0.475,0.7275,0.66,0.532,0.7435,0.563,0.6005,0.321,0.3685,0.4095,0.403,0.054,0.6305,0.4125,0.997,0.96,1,0.7005,0,0,0.515,0,0
"pa_pse",0.5025,0.846,0.4465,0.5485,0.5125,0.2675,0.5445,0.6595,0.6075,0.1175,0.6085,0.2255,0.5045,0.4855,0.139,0.6095,0.4605,0.6745,0.4755,0.3015,0.539,0.6755,0.7005,0.8735,0.518,0.4695,0.3355,0.669,0.5465,0.7625,0.5415,0.6545,0.465,0.36,0.5435,0.3555,0.045,0.615,0.4155,0.997,0.963,1,0.7175,0,0,0.494,0,0
"pa_ther",0.9875,0.704,0.6165,0.5065,0.507,0.2585,0.621,0.525,0.55,0.1405,0.7375,0.2725,0.2985,0.427,0.759,0.6445,0.3575,0.625,0.52,0.3315,0.3145,0.643,0.585,0.8905,0.275,0.5625,0.6205,0.6745,0.405,0.794,0.5,0.635,0.6135,0.3875,0.226,0.3355,0.012,0.817,0.712,0.99,0.9705,1,0.5185,0,0,0.599,0,0
"pspv",0.0255,0.732,0.3345,0.6335,0.6685,0.4,0.5085,0.6755,0.721,0.157,0.2375,0.205,0.7855,0.3845,0.092,0.66,0.7045,0.648,0.448,0.255,0.698,0.6215,0.32,0.915,0.794,0.4265,0.742,0.728,0.431,0.8225,0.565,0.656,0.293,0.269,0.4315,0.3,0.302,0.5305,0.3115,0.999,0.967,1,0.571,0,0,0.427,0,0
"rlo",0.4035,0.8285,0.476,0.5865,0.479,0.29,0.476,0.638,0.6105,0.1155,0.5665,0.239,0.4185,0.468,0.298,0.622,0.484,0.6655,0.533,0.312,0.4765,0.711,0.479,0.8845,0.476,0.431,0.4945,0.679,0.486,0.7345,0.7255,0.613,0.48,0.343,0.5155,0.3435,0.093,0.659,0.387,0.9985,0.95,1,0.7255,0,0,0.459,0,0
"sch",0.597,0.819,0.4145,0.561,0.5435,0.2775,0.6485,0.665,0.5105,0.124,0.642,0.2885,0.3875,0.3865,0.7445,0.608,0.531,0.648,0.5045,0.3185,0.406,0.7065,0.378,0.8675,0.351,0.4505,0.528,0.6625,0.4835,0.7375,0.431,0.6515,0.571,0.389,0.3035,0.352,0.062,0.6165,0.4055,0.9975,0.958,1,0.719,0,0,0.577,0,0
"sp_des",0.144,0.843,0.8005,0.541,0.5015,0.2525,0.4405,0.6165,0.4975,0.1035,0.481,0.274,0.36,0.3615,0.492,0.612,0.494,0.637,0.5005,0.45,0.4325,0.6985,0.513,0.871,0.5185,0.4315,0.4935,0.664,0.5145,0.7705,0.559,0.578,0.498,0.328,0.4845,0.284,0.0425,0.555,0.3425,0.998,0.952,1,0.6805,0,0,0.36,0,0
"te_bry",0.4595,0.8325,0.4695,0.559,0.5095,0.2765,0.5405,0.636,0.607,0.105,0.563,0.213,0.5435,0.3945,0.231,0.6385,0.398,0.659,0.6155,0.2895,0.548,0.727,0.472,0.8985,0.4655,0.428,0.5045,0.6965,0.5565,0.773,0.672,0.632,0.4835,0.3385,0.5325,0.31,0.07,0.616,0.3675,0.998,0.943,1,0.6285,0,0,0.4675,0,0
"te_mar",0.914,0.853,0.418,0.5945,0.4555,0.3095,0.6035,0.587,0.63,0.0995,0.5265,0.254,0.571,0.36,0.7715,0.6505,0.3185,0.654,0.5065,0.304,0.2855,0.753,0.4135,0.8945,0.409,0.4595,0.528,0.734,0.434,0.7675,0.6025,0.655,0.4345,0.3825,0.539,0.412,0.088,0.7065,0.4505,0.9985,0.96,0.9995,0.705,0,0,0.5725,0,0
"ven",0.7445,0.7935,0.363,0.562,0.515,0.3135,0.419,0.636,0.4845,0.1395,0.653,0.2505,0.4895,0.384,0.6465,0.609,0.5325,0.6235,0.542,0.338,0.419,0.685,0.424,0.832,0.4985,0.4775,0.3055,0.6575,0.4315,0.719,0.4945,0.591,0.6595,0.383,0.5575,0.387,0.0445,0.647,0.425,0.9915,0.9385,1,0.7405,0,0,0.5375,0,0
