"","prev_prop_neg"
"arena1",0.5495
"arena2",0.84
"ascv",0.3365
"c_b_cys",0.7705
"ce_sha",0.238
"Circo.virus",0.825
"cr_sal",0.222
"de_sal",0.486
"fa_mar",0.137
"fl_psy",0.694
"ic_hof",0.442
"ic_mul",0.8215
"IcD",0.3945
"ihnv",0.2805
"ku_thy",0.275
"lo_sal",0.2575
"mo_vis",0.694
"my_arc",0.6205
"nu_sal",0.565
"pa_kab",0.0855
"pa_min",0.021
"pa_pse",0.6355
"pa_ther",0.1435
"pch_sal",0.638
"Picorna2_virus",0.3645
"pspv",0.147
"prv",0.476
"Qin",0.8265
"rlo",0.547
"re_sal",0.2235
"Rhabdo3_virus",0.466
"sch",0.279
"smallUK",0.32
"sp_des",0.055
"te_bry",0.621
"te_mar",0.805
"ven",0.1725
"richness",0.979
"rib",0.8255
