"","agent","prev2.5","prev50","prev97.5","prop.neg","model","prev.sst2.5","prev.sst50","prev.sst97.5","sst2.5","sst50","sst97.5","model"
"16","pspv",-0.0302987287578298,0.263531468554722,0.560490719439004,0.0255,"prev",-0.0283346812878792,0.242649160490141,0.512083846649687,-1.26933823700022,-0.736666795131913,-0.293977946715269,"prev+sst"
"19","sp_des",-0.179100282778837,0.177867899399093,0.672344166621649,0.144,"prev",-0.192423217727379,0.140257119193655,0.546876149612604,-1.35426175076057,-0.804929835336077,-0.286127392231184,"prev+sst"
"9","ku_thy",-0.335788786685113,0.0529256175111707,0.507070277024684,0.353,"prev",-0.324068770774247,0.0452188365034442,0.428336985982669,-1.30128305598872,-0.795815538902268,-0.325117512609949,"prev+sst"
"17","rlo",-0.267094472191648,0.0357400284969853,0.324006782340559,0.4035,"prev",-0.269540905693435,0.0390706065823689,0.316042613646908,-1.27980397248739,-0.798349638083521,-0.342676630941457,"prev+sst"
"5","fa_mar",-0.367820318515477,0.0267954406453282,0.45967275620723,0.439,"prev",-0.281020190969044,0.0551029267247403,0.463828805471238,-1.34376849110663,-0.810056028442524,-0.34493551656505,"prev+sst"
"20","te_bry",-0.39941876319207,0.0148875570846307,0.521741132888728,0.4595,"prev",-0.412819596429155,0.0149369146978223,0.43392061706926,-1.29081026880158,-0.792450793780328,-0.324905496951365,"prev+sst"
"14","pa_pse",-0.301621622248871,-0.00111038578114214,0.264117333117745,0.5025,"prev",-0.331240382349709,-0.0345995826683658,0.216348496766499,-1.33657999387499,-0.815703971551767,-0.326640101993447,"prev+sst"
"4","de_sal",-0.310647126958236,-0.029263497057236,0.275249106888738,0.585,"prev",-0.2708160694763,0.0290086197385366,0.333483179316103,-1.27384123960599,-0.807952629054767,-0.344182616310642,"prev+sst"
"18","sch",-0.308506741569639,-0.0292773677278437,0.21747762866821,0.597,"prev",-0.302591714877315,-0.0171092579914066,0.221654443310443,-1.29459683066784,-0.805900024947288,-0.326389272125209,"prev+sst"
"13","pa_min",-0.35241962560791,-0.0344052509933329,0.279162312562413,0.5745,"prev",-0.227341832056598,0.0631793296982475,0.351140924436662,-1.35665635411007,-0.839011155421628,-0.32916650573628,"prev+sst"
"3","ce_sha",-0.356891619119579,-0.0577463992607797,0.304539912175886,0.6305,"prev",-0.318472790190191,-0.0463992310555936,0.290864388202701,-1.32149760341053,-0.796105951532049,-0.31377013686526,"prev+sst"
"6","fl_psy",-0.339165330700242,-0.0693389276536542,0.226601211135473,0.7105,"prev",-0.305901272604312,-0.0385546021254428,0.235694032361517,-1.28679365751853,-0.773644458515702,-0.297017197717301,"prev+sst"
"22","ven",-0.343596018631124,-0.0853059722539053,0.180365119816602,0.7445,"prev",-0.359116102639196,-0.106389058742984,0.150252069754178,-1.30227806227217,-0.789579230011833,-0.348965284631806,"prev+sst"
"12","pa_kab",-0.399805372027115,-0.0893620402126258,0.23392473511451,0.712,"prev",-0.446764689103692,-0.149864940287985,0.159232755696417,-1.26133669654417,-0.790291817460583,-0.369174006170596,"prev+sst"
"7","ic_hof",-0.532171530622613,-0.0997372329175298,0.194083895852885,0.74,"prev",-0.501705136462817,-0.0903066516052031,0.186022813268661,-1.27650055814384,-0.79838215145946,-0.315594892134064,"prev+sst"
"10","lo_sal",-0.383875152202393,-0.109700580039834,0.163362081356353,0.7925,"prev",-0.359927915978004,-0.102564106836353,0.155632960780014,-1.35109625076563,-0.793461194637145,-0.324627450346929,"prev+sst"
"2","c_b_cys",-0.432072664901208,-0.16531641606055,0.152893780743672,0.8825,"prev",-0.354664788258077,-0.101086354460396,0.209873862351126,-1.34833345578455,-0.76811451980825,-0.239576386282011,"prev+sst"
"11","my_arc",-0.421805157971533,-0.172745833410423,0.0656492291214796,0.918,"prev",-0.387051959040718,-0.152546362484562,0.0812463024083113,-1.37124907168147,-0.80548777207275,-0.280376733343812,"prev+sst"
"21","te_mar",-0.504890237232414,-0.20226543270677,0.0931327386920299,0.914,"prev",-0.433427932104891,-0.133177371206866,0.157862811968645,-1.19875454824025,-0.723253160028578,-0.262552979632013,"prev+sst"
"8","ic_mul",-0.511684519034667,-0.207030250503169,0.112894225533643,0.9055,"prev",-0.4836543700213,-0.185003929723179,0.111972962613328,-1.22444226634971,-0.732959321811976,-0.267980957212291,"prev+sst"
"15","pa_ther",-0.548068268741051,-0.284704976902856,-0.0199156900120673,0.9875,"prev",-0.468399729455578,-0.228350652120028,0.0191367948578372,-1.23531536645388,-0.719243102702389,-0.190572165602113,"prev+sst"
